canopy_height,column,cultivar,date,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,range,season,day_offset
18.0,10,6000000975,2017-05-19 12:00:00,2.69075891758,1.9688844985,1.73873972408,0.451717260167,36,4,18
30.0,4,6000000914,2017-05-19 12:00:00,3.97113782824,2.45329173795,1.90302775662,0.392791461412,13,4,18
21.0,10,6000000700,2017-05-19 12:00:00,4.0095168931,2.4215429515299998,1.91235448676,0.398450826806,23,4,18
24.0,14,6000001010,2017-05-19 12:00:00,3.61664839708,2.26824394662,1.88661295565,0.40501079004199997,39,4,18
22.0,13,6000000913,2017-05-19 12:00:00,2.8901592736199997,2.0251251784,1.7602362248900003,0.447267267267,40,4,18
25.0,4,6000000225,2017-05-19 12:00:00,3.8327572623300004,2.2749582467500002,1.945526886,0.394969624709,42,4,18
18.0,3,6000000841,2017-05-19 12:00:00,2.47100164808,1.86351708378,1.7193135820200003,0.453385683396,43,4,18
24.0,4,6000000716,2017-05-19 12:00:00,4.3586317879,2.49629313461,1.9586087352900001,0.39308663224299994,44,4,18
31.0,5,6000000711,2017-05-19 12:00:00,3.8896544247900002,2.18764464716,2.0239494655700003,0.380806239238,44,4,18
29.0,9,6000000821,2017-05-19 12:00:00,3.5578191985500003,2.12021693447,1.97689963993,0.387142692485,45,4,18
36.0,6,6000001061,2017-05-19 12:00:00,3.5470957058699994,2.30867060873,1.85159520778,0.409375440079,46,4,18
25.0,11,6000000828,2017-05-19 12:00:00,3.6540499072199992,2.18331111082,1.9480946307599998,0.390369749464,49,4,18
16.0,14,6000000936,2017-05-19 12:00:00,3.3046330369,2.1553176066799997,1.8584900334799999,0.41197321325499997,49,4,18
30.0,5,6000000862,2017-05-19 12:00:00,3.1177931178900002,1.9499213538,1.93513561689,0.39909006895599997,50,4,18
30.0,9,6000001005,2017-05-19 12:00:00,1.94859765854,1.6329049710299999,1.66129284009,0.46800976801000005,51,4,18
31.0,12,6000001055,2017-05-19 12:00:00,2.61395733192,1.8928498064800001,1.7359354244499998,0.454848640328,54,4,18
33.0,16,6000001054,2017-05-19 12:00:00,3.6815902156699996,2.36229020275,1.8519671642,0.41220606713299995,51,4,18
22.0,7,6000001062,2017-05-19 12:00:00,4.28406924896,2.29088686682,2.04742858912,0.38648888888899996,46,4,18
25.0,6,6000000571,2017-05-19 12:00:00,4.36233833353,2.6161149035499998,1.9092756219799998,0.39226255958899997,34,4,18
19.0,12,6000000708,2017-05-19 12:00:00,2.41321007841,1.7434168209599998,1.79073462592,0.446280821211,47,4,18
21.0,3,6000000824,2017-05-19 12:00:00,3.4807855225599997,2.21075059559,1.86735128534,0.412473584696,32,4,18
22.0,4,6000000916,2017-05-19 12:00:00,4.15507398642,2.63661212993,1.84526833162,0.409421745925,30,4,18
20.0,10,6000000560,2017-05-19 12:00:00,3.1120863359900004,2.0866787364099997,1.80136852868,0.43514671942,9,4,18
28.0,4,6000000725,2017-05-19 12:00:00,3.8738184696099998,2.3906642273400003,1.8543806698299998,0.421968929416,38,4,18
25.0,8,6000000737,2017-05-19 12:00:00,3.15540797475,2.0507138185,1.85650433127,0.42150315208800004,51,4,18
29.0,3,6000001025,2017-05-19 12:00:00,3.6385703011,2.16953297178,1.9399759246400001,0.40476436188500003,50,4,18
23.0,13,6000000874,2017-05-19 12:00:00,3.7370203212699997,2.05690023914,2.04407257091,0.39028236156900004,46,4,18
19.0,6,6000000741,2017-05-19 12:00:00,2.8845249280000003,1.9993409989200002,1.8036300153799998,0.428194576343,12,4,18
32.0,2,6000000819,2017-05-19 12:00:00,3.39600088038,2.18761690246,1.84394586832,0.42067390699,14,4,18
25.0,6,6000000793,2017-05-19 12:00:00,3.8303279384099995,2.27916762254,1.98769900596,0.36980467499200004,14,4,18
20.0,2,6000000991,2017-05-19 12:00:00,3.35381731635,2.09932063927,1.8765316559,0.419380780056,48,4,18
20.0,12,6000000944,2017-05-19 12:00:00,3.0092055603600003,2.01373114853,1.84405461583,0.425207610638,38,4,18
23.0,14,6000000735,2017-05-19 12:00:00,4.09208612647,2.4493909194,1.9058119259900002,0.404944891272,51,4,18
18.0,3,6000000464,2017-05-19 12:00:00,2.94826514793,2.01419013348,1.8075966298400004,0.431598041787,51,4,18
22.0,5,6000001013,2017-05-19 12:00:00,2.7616915721599997,1.88824106786,1.8127374731,0.433898989899,29,4,18
21.0,5,6000001023,2017-05-19 12:00:00,2.4998737847599997,1.8283616180700002,1.76742366722,0.442985242539,33,4,18
27.0,14,6000000965,2017-05-19 12:00:00,4.919022153869999,2.82419371874,1.9486207090099998,0.38535988819,21,4,18
21.0,9,6000000788,2017-05-19 12:00:00,3.3828951486900003,2.19082828593,1.8652337582799998,0.412931307376,30,4,18
25.0,10,6000000806,2017-05-19 12:00:00,3.4289060288599997,2.22617246893,1.8250324388499999,0.430760732323,42,4,18
22.0,12,6000000823,2017-05-19 12:00:00,4.16969907979,2.4648909095500002,1.93310778375,0.39287970140699996,28,4,18
24.0,3,6000000995,2017-05-19 12:00:00,2.87679027634,2.14213769405,1.71122773305,0.45049504950499997,33,4,18
21.0,7,6000001000,2017-05-19 12:00:00,2.08785504501,1.53872924468,1.8184509645900002,0.44619708994699997,51,4,18
25.0,15,6000000878,2017-05-19 12:00:00,3.50862948438,2.11903164244,1.92115661664,0.408920677495,39,4,18
13.0,7,6000000563,2017-05-19 12:00:00,5.226887045280001,3.1399235105,1.88550077412,0.39180151024800003,44,4,18
22.0,2,6000000921,2017-05-19 12:00:00,3.59754641134,2.3047038046400004,1.8444489995200002,0.41607229500200005,47,4,18
