column,cultivar,cultivar_id,date,panicle_count,panicle_surface_area,panicle_volume,range,season
13,6000000993,6000000993,2017-08-18 12:00:00,57.0,9166.520529000001,41318.898855,31,4
12,6000000809,6000000809,2017-08-18 12:00:00,3.0,9535.757163,51342.171023,32,4
3,6000000995,6000000995,2017-08-18 12:00:00,68.0,16811.395419,95664.09125750001,33,4
5,6000001023,6000001023,2017-08-18 12:00:00,60.0,30163.026044,330443.651588,33,4
6,6000000994,6000000994,2017-08-18 12:00:00,62.0,15269.458257499999,98532.80322100001,33,4
4,6000000744,6000000744,2017-08-18 12:00:00,34.0,17405.332789,141386.758222,34,4
11,6000000552,6000000552,2017-08-18 12:00:00,72.0,21614.116785,148402.71534,34,4
6,6000000465,6000000465,2017-08-18 12:00:00,71.0,10736.13464,53552.557839,35,4
6,6000001056,6000001056,2017-08-18 12:00:00,28.0,20498.725816,169006.061227,36,4
11,6000000469,6000000469,2017-08-18 12:00:00,15.0,11061.54764,53826.506973,37,4
2,6000000738,6000000738,2017-08-18 12:00:00,38.0,34979.129143,385095.895956,38,4
4,6000000725,6000000725,2017-08-18 12:00:00,26.0,10789.2812845,63999.350546500005,38,4
6,6000000866,6000000866,2017-08-18 12:00:00,25.0,13878.918419999998,98255.292611,38,4
3,6000000207,6000000207,2017-08-18 12:00:00,35.0,9934.678243,44824.280850999996,39,4
4,6000000797,6000000797,2017-08-18 12:00:00,5.0,19068.845685,153154.568999,40,4
2,6000000217,6000000217,2017-08-18 12:00:00,10.0,13545.774313499998,69738.8024485,41,4
12,6000000750,6000000750,2017-08-18 12:00:00,13.0,16748.094203,143682.051875,41,4
8,6000000221,6000000221,2017-08-18 12:00:00,8.0,11195.2347705,57798.851655,43,4
7,6000000563,6000000563,2017-08-18 12:00:00,20.0,10141.0880005,56217.574679,44,4
7,6000000825,6000000825,2017-08-18 12:00:00,52.0,8696.647794499999,34162.640772000006,45,4
11,6000000567,6000000567,2017-08-18 12:00:00,9.0,28292.562828,317697.46572800004,46,4
9,6000001003,6000001003,2017-08-18 12:00:00,56.0,16224.7725835,110373.984704,48,4
4,6000000911,6000000911,2017-08-18 12:00:00,47.0,10284.800906,56537.468430999994,49,4
9,6000001022,6000001022,2017-08-18 12:00:00,11.0,10883.215081999999,86841.687986,50,4
12,6000000873,6000000873,2017-08-18 12:00:00,26.0,13543.047128999999,82885.717964,50,4
3,6000000464,6000000464,2017-08-18 12:00:00,54.0,11975.654648,68430.850828,51,4
8,6000000737,6000000737,2017-08-18 12:00:00,50.0,15172.198304,106397.13943099999,51,4
11,6000000890,6000000890,2017-08-18 12:00:00,35.0,11617.671945999999,61872.311580999994,51,4
14,6000000735,6000000735,2017-08-18 12:00:00,68.0,24686.4170595,204655.771272,51,4
9,6000000887,6000000887,2017-08-18 12:00:00,4.0,8690.5908775,51983.758783,52,4
10,6000000872,6000000872,2017-08-18 12:00:00,96.0,19296.0972825,149549.99566400002,31,4
11,6000000858,6000000858,2017-08-18 12:00:00,6.0,8255.2749795,33116.5014265,32,4
13,6000000983,6000000983,2017-08-18 12:00:00,6.0,14264.573320500002,72326.095019,32,4
10,6000001008,6000001008,2017-08-18 12:00:00,26.0,30046.963859500003,328459.92450100003,35,4
5,6000000726,6000000726,2017-08-18 12:00:00,85.0,32313.260619999997,305359.006818,36,4
11,6000001001,6000001001,2017-08-18 12:00:00,52.0,15194.081465000001,104680.251759,38,4
12,6000000944,6000000944,2017-08-18 12:00:00,51.0,13557.686397,70979.228208,38,4
4,6000000209,6000000209,2017-08-18 12:00:00,22.0,10767.601476,53864.2555875,39,4
13,6000001020,6000001020,2017-08-18 12:00:00,18.0,21059.8606755,192039.711038,39,4
3,6000001009,6000001009,2017-08-18 12:00:00,33.0,13114.18163,73064.942311,41,4
3,6000000746,6000000746,2017-08-18 12:00:00,5.0,18562.507603000002,159928.736979,42,4
9,6000000822,6000000822,2017-08-18 12:00:00,15.0,13949.968425,90181.850858,43,4
6,6000000553,6000000553,2017-08-18 12:00:00,17.0,10085.269572,52932.961979,44,4
12,6000000896,6000000896,2017-08-18 12:00:00,5.0,18080.917469,156459.21789200002,44,4
6,6000000472,6000000472,2017-08-18 12:00:00,25.0,8008.571904,29264.036356,45,4
5,6000000871,6000000871,2017-08-18 12:00:00,83.0,12928.701369,71667.86870199999,46,4
8,6000000970,6000000970,2017-08-18 12:00:00,98.0,9362.464328,43476.991438,46,4
12,6000000868,6000000868,2017-08-18 12:00:00,26.0,9632.4766655,62140.431056500005,46,4
2,6000000730,6000000730,2017-08-18 12:00:00,8.0,21763.645807499997,174901.621082,50,4
3,6000001025,6000001025,2017-08-18 12:00:00,60.0,13678.944619999998,101714.219256,50,4
6,6000001021,6000001021,2017-08-18 12:00:00,108.0,16664.9299755,105286.899085,50,4
13,6000000860,6000000860,2017-08-18 12:00:00,29.0,10912.542141,56864.351861,50,4
2,6000000870,6000000870,2017-08-18 12:00:00,72.0,14802.834083500002,92449.395427,51,4
5,6000000216,6000000216,2017-08-18 12:00:00,84.0,14469.8841435,95867.6045235,51,4
7,6000001000,6000001000,2017-08-18 12:00:00,70.0,20637.0399845,150399.941947,51,4
10,6000001027,6000001027,2017-08-18 12:00:00,45.0,13438.808675999999,79422.096971,51,4
12,6000001024,6000001024,2017-08-18 12:00:00,95.0,15966.989199000001,91076.54396699999,51,4
5,6000000820,6000000820,2017-08-18 12:00:00,16.0,38728.073955500004,519712.67461499997,52,4
4,6000000725,6000000725,2017-08-06 12:00:00,5.0,13061.348161,97125.808814,38,4
14,6000000737,6000000737,2017-08-06 12:00:00,47.0,14503.017812,106214.687622,10,4
7,6000001025,6000001025,2017-08-06 12:00:00,89.0,16510.066928,134841.768395,11,4
8,6000001057,6000001057,2017-08-06 12:00:00,22.0,18820.467279,154336.754568,11,4
10,6000000874,6000000874,2017-08-06 12:00:00,9.0,10852.969075,78536.093525,11,4
